work_type,title,byline,release_date,month,day,extra,source_url
birth,Robert Crumb,American illustrator and cartoonist (b. 1943),1943-08-30,08,30,,https://en.wikipedia.org/wiki/Robert_Crumb
birth,Colin Dann,English author (born 1943),1943-08-30,08,30,,https://en.wikipedia.org/wiki/Colin_Dann
birth,Nigel Hall (sculptor),British sculptor (born 1943),1943-08-30,08,30,,https://en.wikipedia.org/wiki/Nigel_Hall_(sculptor)
birth,David Maslanka,American composer (1943–2017),1943-08-30,08,30,,https://en.wikipedia.org/wiki/David_Maslanka
birth,John Kani,South African actor and writer (born 1942),1942-08-30,08,30,,https://en.wikipedia.org/wiki/John_Kani
birth,Ben Jones (American actor and politician),American actor and politician (1941–2026),1941-08-30,08,30,,https://en.wikipedia.org/wiki/Ben_Jones_(American_actor_and_politician)
birth,John McNally (musician),English Guitarist (born 1941),1941-08-30,08,30,,https://en.wikipedia.org/wiki/John_McNally_(musician)
birth,Elizabeth Ashley,American actress,1939-08-30,08,30,,https://en.wikipedia.org/wiki/Elizabeth_Ashley
birth,John Peel,English DJ and radio presenter (1939–2004),1939-08-30,08,30,,https://en.wikipedia.org/wiki/John_Peel
birth,John Phillips (musician),American musician (1935–2001),1935-08-30,08,30,,https://en.wikipedia.org/wiki/John_Phillips_(musician)
birth,Guy de Lussigny,French painter,1929-08-30,08,30,,https://en.wikipedia.org/wiki/Guy_de_Lussigny
birth,Harvey Hart,Canadian film and television director (1928–1989),1928-08-30,08,30,,https://en.wikipedia.org/wiki/Harvey_Hart
birth,Johnny Mann,American conductor (1928–2014),1928-08-30,08,30,,https://en.wikipedia.org/wiki/Johnny_Mann
birth,Bill Daily,American actor and comedian (1927–2018),1927-08-30,08,30,,https://en.wikipedia.org/wiki/Bill_Daily
birth,Piet Kee,Dutch musician (1927–2018),1927-08-30,08,30,,https://en.wikipedia.org/wiki/Piet_Kee
birth,Laurent de Brunhoff,French author and illustrator (1925–2024),1925-08-30,08,30,,https://en.wikipedia.org/wiki/Laurent_de_Brunhoff
birth,Donald Symington,American actor (1925-2013),1925-08-30,08,30,,https://en.wikipedia.org/wiki/Donald_Symington
birth,Kenny Dorham,American jazz trumpeter (1924–1972),1924-08-30,08,30,,https://en.wikipedia.org/wiki/Kenny_Dorham
birth,Geoffrey Beene,American fashion designer (1924–2004),1924-08-30,08,30,,https://en.wikipedia.org/wiki/Geoffrey_Beene
birth,Charmian Clift,Australian writer (1923–1969),1923-08-30,08,30,,https://en.wikipedia.org/wiki/Charmian_Clift
birth,Regina Resnik,American opera singer (1922–2013),1922-08-30,08,30,,https://en.wikipedia.org/wiki/Regina_Resnik
birth,Kitty Wells,American country music singer (1919–2012),1919-08-30,08,30,,https://en.wikipedia.org/wiki/Kitty_Wells
birth,Shailendra (lyricist),"Indian Hindi-Urdu poet, lyricist and film producer (1923–1966)",1916-08-30,08,30,,https://en.wikipedia.org/wiki/Shailendra_(lyricist)
